,batch_size,run,model_type,time,energy,samples_processed,energy_per_sample,throughput
0,1,0,dot_product,1.9903547763824463,244.75300002098083,1000,0.24475300002098083,502.42299104963695
1,1,0,inhibitor,3.1090362071990967,375.3930000066757,1000,0.37539300000667575,321.643085945561
2,1,1,dot_product,1.9784917831420898,244.8270000219345,1000,0.2448270000219345,505.4355082596685
3,1,1,inhibitor,3.0888381004333496,376.9279999732971,1000,0.3769279999732971,323.7463303303934
4,1,2,dot_product,1.993690013885498,245.00499999523163,1000,0.24500499999523162,501.5824892712896
5,1,2,inhibitor,3.0902130603790283,377.67400002479553,1000,0.3776740000247955,323.60228258091223
6,8,0,dot_product,0.29997754096984863,52.00699996948242,1000,0.05200699996948242,3333.5828967959706
7,8,0,inhibitor,0.57533860206604,119.21399998664856,1000,0.11921399998664856,1738.1069102768379
8,8,1,dot_product,0.29828739166259766,47.5789999961853,1000,0.047578999996185305,3352.47156920106
9,8,1,inhibitor,0.5714576244354248,118.67299997806549,1000,0.11867299997806549,1749.9110296900078
10,8,2,dot_product,0.29986572265625,51.37399995326996,1000,0.05137399995326996,3334.8259719112557
11,8,2,inhibitor,0.5720818042755127,119.30099999904633,1000,0.11930099999904632,1748.0017587107234
12,16,0,dot_product,0.14734864234924316,33.11899995803833,1000,0.03311899995803833,6786.625136523603
13,16,0,inhibitor,0.41991615295410156,93.92900002002716,1000,0.09392900002002716,2381.4277992523516
14,16,1,dot_product,0.14615392684936523,15.996000051498413,1000,0.015996000051498413,6842.101485447314
15,16,1,inhibitor,0.4177694320678711,116.83200001716614,1000,0.11683200001716613,2393.6648381625473
16,16,2,dot_product,0.14742469787597656,34.43999993801117,1000,0.03443999993801117,6783.12395689131
17,16,2,inhibitor,0.41799330711364746,93.35300004482269,1000,0.09335300004482269,2392.3828036990835
18,32,0,dot_product,0.0909886360168457,20.406000018119812,1000,0.02040600001811981,10990.383456400636
19,32,0,inhibitor,0.36763930320739746,111.20700001716614,1000,0.11120700001716614,2720.057380360845
20,32,1,dot_product,0.09021902084350586,14.460999965667725,1000,0.014460999965667725,11084.137143702796
21,32,1,inhibitor,0.36885714530944824,109.01200008392334,1000,0.10901200008392334,2711.076666716222
22,32,2,dot_product,0.09299826622009277,23.77400004863739,1000,0.02377400004863739,10752.888635938298
23,32,2,inhibitor,0.3677055835723877,80.13800001144409,1000,0.0801380000114441,2719.5670794135135
